Date,lambda_0,lambda_MKT,lambda_TENY,lambda_CREDIT
2014-02-28,0.014175933021380127,0.03618673253610759,-0.0004966239757407637,-0.000650988963845493
2014-03-31,0.030469854633674527,-0.029222703728537844,0.0022357206869643063,-0.0008577753430661551
2014-04-30,0.030106443029201027,-0.03612737341422673,0.0011639145932548815,-0.0006178446548793929
2014-05-31,0.001952059541730578,0.023216389130586736,-0.0009475611329970804,0.0007566693650448281
2014-06-30,-0.0046025442535600316,0.02992926022864974,-0.0012409619062467708,-0.0006263317801340543
2014-07-31,-0.022117619506075284,-7.73310332834256e-05,0.0007973093156515582,0.0006907951406225525
2014-08-31,0.034982490043780755,0.012283358764063905,-0.000834638554726868,0.0005959519395603368
2014-09-30,0.007896602791661218,-0.02645630527649044,0.0016978087665760284,0.0014037064153098835
2014-10-31,0.07293285203949662,-0.030753709507328218,-0.0030200541557865836,0.0021300304420085927
2014-11-30,0.013462398963153674,0.02212084757752531,-0.0031995474654211236,0.0021348699928242687
2014-12-31,0.020775278516991867,-0.017935661335164898,2.977012814182459e-05,-0.00021993224625900908
2015-01-31,0.0338351981169984,-0.05317731425695589,-0.00365688478782209,0.0006679934154524288
2015-02-28,-0.016503734814233895,0.07749680916155939,0.0010510388514866024,0.0007527332595287321
2015-03-31,0.013468037834640815,-0.016503753524623074,-0.00020771726319305066,-0.0002410601196370043
2015-04-30,-0.0339695880787865,0.03214645133206852,0.0013600914779263544,-0.0004131745908017747
2015-05-31,0.015418003655049873,0.0067709457155049405,-0.0008357004278660898,0.0023034271826913315
2015-06-30,-0.018450213543058046,0.0009879025106669266,0.0009365215130085405,1.2355165129852706e-05
2015-07-31,0.055661803368018785,-0.03387009657552245,-0.002857717258905198,0.001748895746714022
2015-08-31,-0.031341198423934395,-0.022457863331454407,-9.425338796395825e-06,0.0011459403742693206
2015-09-30,0.02162388214150357,-0.047842986306747354,-0.0020003663818257554,0.0013284539687753998
2015-10-31,0.0030357138015343226,0.06917628262773111,-0.00046497608105988545,0.0002162548942966066
2015-11-30,-0.012969882640489547,0.020464148302579224,-0.0015147420523169443,0.0008351158733498036
2015-12-31,0.01698811815619724,-0.03576893840356844,-0.0022113562196989086,0.0029584036801965537
2016-01-31,0.054760650061460865,-0.10900071284022593,-0.00099057600423338,0.0017790377139233883
2016-02-29,-0.005304979713023074,0.01841411124705739,-0.0008883214014414855,0.000838932180862989
2016-03-31,0.009919684232170657,0.06444878374058702,-0.0014152848337736568,-0.0021360850053693432
2016-04-30,0.0021668783476811084,-0.0005790691104324871,0.0026547239250185764,-0.003656950256650808
2016-05-31,0.004858682977947756,0.019840017482923886,-0.0022930491870682555,0.001120120114424263
2016-06-30,0.07457386686284616,-0.07137677332954746,-0.0027446419709981035,0.001586301283916944
2016-07-31,-0.04257140155290113,0.08541070597846745,-0.002832734224882277,-0.00016733098106611473
2016-08-31,-0.04386462106475478,0.04756205656183473,0.0013583958251923956,-0.0011123138049372368
2016-09-30,-0.029309756037377174,0.030401248583279764,-0.00016643111282776873,-0.00026501484765648807
2016-10-31,-0.016682538701906644,-0.0073948475853867456,0.0024478598573543123,-0.0003763828375012944
2016-11-30,-0.01070074762637351,0.0590375650052682,0.008182346214466809,-0.0019459974094398732
2016-12-31,0.030207264645356436,-0.018393301027375554,-0.0001995779911574043,-0.0002836790383084008
2017-01-31,-0.01956675605561651,0.05002493099604509,-0.0024643349242890974,0.000616355980386556
