Date,lambda_0,lambda_MKT,lambda_SMB,lambda_HML,lambda_MOM
2014-02-28,0.008003231903915088,0.04252388675605264,0.004081796521840951,-0.01538985867415715,0.014320432495198996
2014-03-31,0.025447233465465652,-0.031608771572395535,0.00695458057621701,0.034755791739746,-0.03622766594874847
2014-04-30,0.03797361745893071,-0.045194943523706566,-0.0014899892278184858,0.026348328839005886,-0.05126445443569351
2014-05-31,0.006658204576605163,0.024616208341004253,-0.009072095547008567,-0.015078713268136645,0.024046699346730496
2014-06-30,-0.0057976609873628335,0.03985175013747106,-0.008601223215621972,-0.015760205313552735,0.02704151216494519
2014-07-31,-0.007843863186568755,-0.003990427657644561,-0.02006037150119773,-0.00034677512410316634,-0.020179197548720877
2014-08-31,0.03286381514375366,0.008367671312847734,0.010885966716832358,-0.014464659753113424,0.01108674722650276
2014-09-30,4.4759450154271114e-05,-0.012241156965956677,-0.013359925914515788,-0.010708353968933245,0.0346756322232891
2014-10-31,0.06539304934037977,-0.03786361731796355,0.02509768253879853,-0.020476832376613904,0.056650611117337366
2014-11-30,0.0263657216303778,-0.0022556040142772834,0.019655930894968778,-0.03265149928728925,0.003785161884260332
2014-12-31,0.010873944756344966,-0.014582947001101663,0.011213351931374392,0.004539294820059178,0.011083878315760238
2015-01-31,0.039468471078293765,-0.05678015597647056,0.0040083589990965954,-0.023632386196877516,0.02433787059209002
2015-02-28,-0.012769779194018022,0.07853508785524195,-0.009920787130051758,-0.020162167729451737,0.0063181481876726335
2015-03-31,-0.007771954077340489,-0.008065275252358192,0.022304214384970666,0.002977946493729502,0.03641043260019624
2015-04-30,-0.01845478440673151,0.027819524021277783,-0.0207246708951915,0.005859250165535751,-0.04169641348617545
2015-05-31,0.01820706099764963,0.003227902612266016,-0.0007987343017174873,-0.024998815259839928,0.03483968771156528
2015-06-30,-0.04265375641331379,0.022078282171455046,0.005948873041569842,-0.005162677135322867,0.05828982977276265
2015-07-31,0.051517244949708,-0.02503016560578662,-0.0033249785381806295,-0.02851624141155167,0.07606821973880172
2015-08-31,-0.037126093929586636,-0.01885986752695537,0.002272758659368706,-0.0077408923942253105,0.028142068568772913
2015-09-30,0.03819556984951234,-0.06093024078508789,-0.004391451586767222,-0.014698253431766221,-0.011813977647649038
2015-10-31,0.023229254804356097,0.06126706165631472,-0.02141170851028257,-0.005081092288010542,-0.014589095547668093
2015-11-30,-0.019322695919531785,0.025290951251249003,0.0048146464507277656,-0.01938440612345761,0.04922430127877758
2015-12-31,0.028675267101144465,-0.042906282874919266,-0.008497627648885175,-0.027024295675295223,0.03897124648271111
2016-01-31,0.07460644196591713,-0.12658250457294917,-0.006620414668647222,0.003884012428637387,-0.03397719532679813
2016-02-29,0.011753927833014917,-0.011372129541398162,0.01850382074920677,-0.008357199313230779,-0.05840050432758418
2016-03-31,0.012205365379565162,0.06179657477839034,0.006847420831412021,-0.0006937246317153978,-0.01823365745668915
2016-04-30,-0.03031382737888127,0.03322473929362387,0.0015111004953202425,0.03577954061000553,0.020707591875410113
2016-05-31,0.017984695027513226,0.016097116550513553,-0.011968220942660274,-0.02844283994005633,0.021304357427463994
2016-06-30,0.08470772521800354,-0.08293960869334022,0.0034354074673872913,-0.007761876656905815,0.011912529991272116
2016-07-31,-0.029273434301087375,0.07377785883052916,0.0032123347952973573,-0.030346577536090158,-0.0024401494379070964
2016-08-31,-0.046833498872073935,0.05681218025779535,-0.010048083040808951,0.0045483268357576,-0.002977001003281394
2016-09-30,-0.021943435738398107,0.02911469556057345,-0.008903226128522098,-0.0056294708909120994,-0.009470339476133387
2016-10-31,-0.020399991771612818,0.004911616447000286,-0.017677145655559962,0.01695940167510763,-0.0006231498617013611
2016-11-30,-0.0440178274511957,0.07705452971537644,0.01088329817275781,0.059477937327426914,-0.029986383614317706
2016-12-31,0.0316440225227906,-0.015802333786674443,-0.005708822190215231,0.005112982782705083,0.0003447725574391772
2017-01-31,-0.012551389599527096,0.04602221573082868,3.878936432061247e-05,-0.03298303328447654,0.02309405800482011
2017-02-28,0.03141966670627968,0.007406014470250982,-0.000503432516573386,-0.01858645187090388,0.018509277313028073
2017-03-31,-0.01445220245212646,0.021877771180253854,-0.0063988379069346265,-0.021820453007687833,-0.020908887025673506
2017-04-30,-0.005616959245768198,0.02307923978445071,-0.004740667468408648,-0.029404036630253778,0.03305307972942028
2017-05-31,0.023550730570443018,0.006256915795220899,-0.012911787078290339,-0.047728331118559696,0.037209897421400906
2017-06-30,-0.025615922405449156,0.024439314913483074,0.014661991793270941,0.01282460296290844,0.029752964462908288
2017-07-31,0.0023620486654000864,0.02627007307427796,-0.01818483894531756,-0.009251159455563332,0.022876117956729388
2017-08-31,-0.007184938028597634,0.014598638734560307,-0.0063761123877128945,-0.03382181945617538,0.037501739213137625
2017-09-30,-0.012959091513463717,0.03128748229310759,0.004059987962597626,0.024461156566382848,-0.019884318586560975
2017-10-31,-0.011836779154708443,0.03612363453850925,0.004245414697577232,-0.026843073255756755,0.04551859960283793
2017-11-30,0.042148224274322625,-0.012052193074769681,0.0067840702771732675,-0.00505341701093161,0.019071162942419024
2017-12-31,-0.01772863972255992,0.022629468947303263,0.0013784194782850954,0.021750074679848862,-0.03364640258378646
2018-01-31,-0.019974344813426727,0.09462569891844795,-0.03507432829762065,-0.04403103768587448,0.07901269145033016
2018-02-28,-0.046713870613575376,0.01272704306638265,-0.006614545682816152,-0.030342647218698858,0.01075769878478411
2018-03-31,0.0036458271180235314,-0.02323355935953804,0.021814906055058363,-0.00805366681664364,0.02066198599953618
2018-04-30,-0.0006080695196507094,0.007702474598171156,-0.014540136590212643,0.010051919978685939,0.028696913479717374
2018-05-31,-0.03690138931552685,0.06902385749269375,-0.010296795266253303,-0.04620991042861277,0.0005972773978467536
2018-06-30,0.05339204801374787,-0.041505540326011905,-0.006098991373737931,-0.017284181500739994,-0.008245996007005815
2018-07-31,0.007530073658437769,0.02519930006218731,-0.004776253449814558,0.0063178182473091135,0.039996780083587966
2018-08-31,-3.2641718175530874e-05,0.03596034682286904,-0.0019480193642125423,-0.06217854517190891,0.10473746368068075
2018-09-30,0.0028696532221612575,0.0022360567850460483,-0.010453180787616864,-0.005429566662984833,0.0323043774864522
2018-10-31,0.05817309558653029,-0.1331330198969075,-0.002528301429480817,0.01920693672453866,-0.049501679268419134
2018-11-30,0.03302690482965553,-0.012323893012665128,0.013764602065700788,-0.01830837645334437,0.02359011157373277
2018-12-31,-0.035307710976002146,-0.05197655387954357,-0.0036996240827721935,-0.02310870353309736,0.015909102082802783
2019-01-31,-0.008033603449215018,0.096600392556394,0.006193707935993885,-0.003142127426157301,-0.005478111515840179
2019-02-28,0.017109845329822255,0.020816089733618294,0.006628463665775537,-0.026471151489525273,0.020358449569933438
2019-03-31,0.031695667916054084,-0.012775167732928,-0.009303464243463858,-0.03249009097964647,0.021061972929618256
2019-04-30,0.004277608176073411,0.033815710256809954,-0.0023615201408535846,-0.005721552679029729,-0.04575518780003912
2019-05-31,0.013275768629288524,-0.08054929890577288,0.015035269585607981,-0.01654792814911152,0.10971896043159045
